Name,Street,City,State,Country,Zipcode,Latitude,Longitude,Category
Georgia Sea Turtle Center,214 Stable Road,Jekyll Island,Georgia,United States,31527,31.06005,-81.4193,Turtles
Hawaii,101 Pakaula Street,Kahului,Hawaii,United States,96732,20.883192,-156.467285,Turtles
Hawaii,,Hawaii County,Hawaii,United States,,19.944951,-155.913849,Turtles
North Shore,61 Iliohu Place,Haleiwa,Hawaii,United States,96712,21.685186,201.954117,Turtles
Hawaii,84 Moua Street,Waianae,Hawaii,United States,96792,21.483102,-158.229904,Turtles
Hawaii,92-2 Koula Street,Honolulu,Hawaii,United States,96813,21.287455,-157.864952,Turtles
Hawaii,,Waikane,Hawaii,United States,96744,21.491727,202.143974,Turtles
Hainan,,,Hainan,China,,20.023678,110.348053,Turtles
Pelagic and neritic portions of Northern Gulf of Mexico,,,Campeche,Mexico,24652,27.15692,271.120605,Turtles
Saint Joseph Bay,,Gulf County,Florida,United States,,29.8192,-85.36377,Turtles
Crooked Island,,Bay County,Florida,United States,32403,29.990623,-85.518265,Turtles
South East Wetlands of Wisconsin,4850 Hewitts Point Road,Oconomowoc,Wisconsin,United States,53066,43.13707,-88.450928,Turtles
Tiputini Biodiversity Station,,Orellana,Orellana,Ecuador,,-0.661912,-75.910034,Turtles
Hangzhou,,Hangzhou,Zhejiang,China,,30.339695,-239.793091,Turtles
Bohu Lake Fishery,,Anqing,Anhui,China,246270,30.216355,116.482941,Turtles
Hubei,,,Hubei,China,,30.533877,114.246826,Turtles
Chengdu,,Chengdu,Sichuan,China,,30.5528,104.057007,Turtles